line_type	tag	concordant_site_freq	num_introgressed_1	num_introgressed_0	seq_ids_('par', 'bay')	seq_ids_('par', 'par')	seq_ids_('cer', 'cer')	seq_ids_('cer', 'bay')	seq_ids_('bay', 'bay')	seq_ids_('cer', 'par')	concordant_tree_frac
std_err	s17	0.0122559090938	0.0	0.0	0.000107134216992	NA	0.000119487494136	0.000106728351908	NA	9.50798440088e-05	0.0122468621137
bs_lower	s17	0.47601644	50000.0	50000.0	0.58281278	NA	0.9946095	0.58278119	NA	0.99303863	0.467032413277
bs_upper	s17	0.51991328	50000.0	50000.0	0.58322302	NA	0.99519064	0.58317394	NA	0.99342731	0.519996388102
mean	s18	0.98253478	15487.48	15507.835	0.5830557	NA	0.99505608	0.58311302	NA	0.88202608	0.982338238735
std_err	s18	0.00324834680324	552.814876391	549.640065918	0.000106887666657	NA	0.000402089740223	0.000104536813731	NA	0.00098171628697	0.00327374683747
bs_lower	s18	0.97509624	14451.231	14086.042	0.58281594	NA	0.99436922	0.58290747	NA	0.88041029	0.973339545588
bs_upper	s18	0.98818788	16602.378	16816.029	0.58328516	NA	0.99579322	0.5832426	NA	0.88417685	0.988435444291
mean	s19	1.0	0.0	0.0	0.58047972	NA	0.99427002	0.58047177	NA	0.85629285	1.0
std_err	s19	0.0	0.0	0.0	0.000155327030513	NA	0.000151887453722	0.000155084258693	NA	0.000144360272464	0.0
bs_lower	s19	1.0	0.0	0.0	0.5801442	NA	0.99393776	0.58018039	NA	0.85603897	1.0
bs_upper	s19	1.0	0.0	0.0	0.58081874	NA	0.99466956	0.5807936	NA	0.85656499	1.0
mean	s20	0.37420818	50000.0	50000.0	0.58009782	NA	0.991219	0.58010778	NA	0.99053898	0.374565687736
std_err	s20	0.0132496625977	0.0	0.0	0.00016120020457	NA	0.000189081257458	0.000161103241824	NA	0.000144106003691	0.0132402804245
bs_lower	s20	0.35194412	50000.0	50000.0	0.5797974	NA	0.99087224	0.57979857	NA	0.99026461	0.350472454002
bs_upper	s20	0.39782904	50000.0	50000.0	0.58040076	NA	0.99152578	0.58035721	NA	0.99082278	0.400416194717
mean	s21	0.96471424	15657.119	15484.195	0.58007388	NA	0.98972664	0.5802094	NA	0.88072984	0.964091609629
std_err	s21	0.00505747853191	631.021324885	625.859991509	0.000161564139328	NA	0.000657058785009	0.000161446125043	NA	0.00115759571847	0.00510681667595
bs_lower	s21	0.954075	14532.717	14350.914	0.57975808	NA	0.98838324	0.5799037	NA	0.87881435	0.953899055701
bs_upper	s21	0.974304	16926.238	16502.385	0.58038764	NA	0.99074526	0.58045671	NA	0.88313572	0.972921983015
mean	s22	1.0	0.0	0.0	0.58008972	NA	0.99414196	0.58025192	NA	0.85618736	1.0
std_err	s22	0.0	0.0	0.0	0.000141638824756	NA	0.000142023980262	0.000139481531434	NA	0.000121898326619	0.0
bs_lower	s22	1.0	0.0	0.0	0.57981936	NA	0.99385064	0.57992411	NA	0.85598416	1.0
bs_upper	s22	1.0	0.0	0.0	0.58037978	NA	0.99442834	0.58051882	NA	0.85639292	1.0
mean	s23	0.39708754	50000.0	50000.0	0.58021828	NA	0.99127296	0.58020882	NA	0.99039902	0.396749844449
std_err	s23	0.0120722977509	0.0	0.0	0.000139499753487	NA	0.000179210395916	0.000139378393391	NA	0.000131926974369	0.012066815016
bs_lower	s23	0.3743717	50000.0	50000.0	0.57992612	NA	0.99092576	0.57991943	NA	0.99019244	0.369782769783
bs_upper	s23	0.42064902	50000.0	50000.0	0.58049442	NA	0.99160908	0.58045205	NA	0.99076489	0.420457114807
mean	s24	0.97228684	14967.539	14973.496	0.58003438	NA	0.99102538	0.57999929	NA	0.87907845	0.971985848796
std_err	s24	0.00411853508934	561.939195583	558.04159705	0.000142307816828	NA	0.000531293697731	0.000141344883785	NA	0.000988679698711	0.00412784483127
bs_lower	s24	0.9627695	14107.564	13943.817	0.57979398	NA	0.9899068	0.57972017	NA	0.87716204	0.965370616875
bs_upper	s24	0.98085414	16083.836	16259.929	0.58027546	NA	0.99191054	0.58026489	NA	0.88067579	0.980396221984
mean	s25	1.0	0.0	0.0	0.58021388	NA	0.99403442	0.58019703	NA	0.85625699	1.0
std_err	s25	0.0	0.0	0.0	0.000130569588201	NA	0.000121542981533	0.000129027440335	NA	0.000100656241331	0.0
bs_lower	s25	1.0	0.0	0.0	0.57996672	NA	0.9938347	0.57985872	NA	0.85604627	1.0
bs_upper	s25	1.0	0.0	0.0	0.58045244	NA	0.99425916	0.58048471	NA	0.85643226	1.0
mean	s26	0.39577848	50000.0	50000.0	0.58016992	NA	0.99151882	0.58017215	NA	0.99055853	0.395018561134
std_err	s26	0.0103822046466	0.0	0.0	0.000125861439272	NA	0.000145829339997	0.000125970125625	NA	0.000108895905604	0.0103503011962
bs_lower	s26	0.37542608	50000.0	50000.0	0.57990286	NA	0.99137088	0.57998334	NA	0.99036154	0.377309250803
bs_upper	s26	0.41454148	50000.0	50000.0	0.58046072	NA	0.99186848	0.58038034	NA	0.99074179	0.417257479982
mean	s27	0.96787072	14900.215	14761.399	0.579905	NA	0.99046344	0.57990926	NA	0.87861824	0.967489206351
std_err	s27	0.0042375327242	467.121989945	461.609785488	0.000132054530399	NA	0.000554847981026	0.000132291368799	NA	0.000833333922344	0.00425245423057
bs_lower	s27	0.96035358	14165.739	14078.85	0.57963634	NA	0.98938964	0.57959786	NA	0.87710329	0.95933840013
bs_upper	s27	0.97498132	15804.093	15666.636	0.5801913	NA	0.9916337	0.58015697	NA	0.87999408	0.974790742512
mean	s28	0.4646453	50000.0	50000.0	0.58303382	NA	0.99476874	0.58304399	NA	0.99344021	0.464563675384
std_err	s28	0.0137082258245	0.0	0.0	0.000122001994632	NA	0.00013935470335	0.000122203055472	NA	0.000106843640051	0.0136993044409
